freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_OTH_HH_E,E7000,GWH,AL	2997.450 	2936.634 	3065.799 	4066.970 	3500.001 	3240.375 	2990.930 	2934.535 	3146.976 	3120.242 	3469.079 	3504.652 	3358.820 	3284.260 
A,FC_OTH_HH_E,E7000,GWH,AT	17657.493 	17273.639 	17541.315 	17649.164 	16815.552 	17215.299 	17838.837 	17998.218 	17942.604 	18456.640 	19485.982 	21317.241 	21282.946 	21922.902 
A,FC_OTH_HH_E,E7000,GWH,BA	0.000 	0.000 	0.000 	0.000 	4604.000 	4725.000 	4734.000 	4755.000 	4685.000 	4725.999 	4795.000 	4912.000 	4929.000 	5000.000 
A,FC_OTH_HH_E,E7000,GWH,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	18849.100 	18537.100 	18508.100 	18357.200 	17509.400 	17586.900 	16220.000 	15884.300 
A,FC_OTH_HH_E,E7000,GWH,BG	10559.000 	10912.000 	10838.000 	10537.000 	10590.000 	10644.000 	10733.000 	11137.538 	10963.025 	10843.892 	11356.181 	11953.294 	11969.685 	12311.736 
A,FC_OTH_HH_E,E7000,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1688.278 	1771.692 	1805.835 	1817.409 	1778.285 	1693.079 
A,FC_OTH_HH_E,E7000,GWH,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	14382.000 	14935.000 	15211.299 	15049.536 	15256.834 	15972.500 	17260.001 	15702.000 	15476.699 
A,FC_OTH_HH_E,E7000,GWH,DE	141700.000 	136600.000 	137000.000 	136000.000 	129600.000 	128700.000 	128200.000 	130924.000 	127880.000 	126539.000 	127426.000 	138471.000 	134267.000 	126660.998 
A,FC_OTH_HH_E,E7000,GWH,DK	0.000 	0.000 	0.000 	0.000 	0.000 	10176.668 	10296.111 	9863.889 	9741.835 	10241.653 	10316.625 	10928.238 	9691.240 	9752.186 
A,FC_OTH_HH_E,E7000,GWH,EA20	448642.853 	429030.934 	440206.656 	459965.007 	416268.538 	539453.966 	567034.068 	572507.619 	571830.647 	569646.900 	575122.560 	602291.747 	574900.858 	559901.263 
A,FC_OTH_HH_E,E7000,GWH,EE	2023.289 	1934.277 	1956.280 	1865.267 	1739.248 	1728.246 	1913.272 	1940.278 	1860.137 	2069.997 	1998.000 	2229.000 	1966.878 	2163.230 
A,FC_OTH_HH_E,E7000,GWH,EL	0.000 	0.000 	0.000 	17446.111 	0.000 	17537.900 	19996.900 	19627.852 	16762.610 	17377.539 	17486.201 	17715.799 	16581.530 	15129.267 
A,FC_OTH_HH_E,E7000,GWH,ES	75678.580 	76106.578 	75087.583 	71059.606 	70709.608 	70068.611 	69647.613 	71392.604 	75005.584 	72980.595 	73223.594 	73148.594 	72958.595 	73151.194 
A,FC_OTH_HH_E,E7000,GWH,EU27_2020	459201.853 	439942.934 	451044.656 	470502.007 	426858.538 	668857.136 	700762.872 	706878.739 	706086.925 	704098.900 	711241.666 	745942.494 	707605.174 	691422.828 
A,FC_OTH_HH_E,E7000,GWH,FI	0.000 	0.000 	0.000 	0.000 	0.000 	20918.000 	22518.000 	22512.000 	22896.000 	22546.000 	22041.000 	24261.000 	22713.000 	22089.000 
A,FC_OTH_HH_E,E7000,GWH,FR	161520.000 	148030.183 	160088.181 	168129.225 	150814.993 	157301.715 	163104.102 	161122.891 	160235.864 	159722.077 	161498.532 	169776.175 	155188.320 	150744.811 
A,FC_OTH_HH_E,E7000,GWH,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2376.949 	2460.897 	2484.000 	2461.000 	2565.000 	2039.207 	2682.001 	2750.981 
A,FC_OTH_HH_E,E7000,GWH,HR	6575.300 	6456.400 	6400.500 	6149.800 	5961.500 	6117.100 	6037.600 	6174.400 	6115.600 	6123.300 	5993.100 	6503.000 	6464.310 	6420.970 
A,FC_OTH_HH_E,E7000,GWH,HU	0.000 	0.000 	0.000 	0.000 	0.000 	10839.000 	10954.000 	11248.724 	11369.999 	11618.056 	12275.000 	12475.000 	12348.056 	12531.944 
A,FC_OTH_HH_E,E7000,GWH,IE	0.000 	0.000 	0.000 	0.000 	0.000 	7880.761 	7872.746 	7952.851 	8163.538 	8106.005 	8689.879 	8748.743 	8214.396 	8082.546 
A,FC_OTH_HH_E,E7000,GWH,IT	0.000 	0.000 	0.000 	0.000 	0.000 	66187.000 	64304.000 	65490.699 	65137.795 	65588.003 	66211.648 	67119.685 	64640.031 	63412.984 
A,FC_OTH_HH_E,E7000,GWH,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2837.600 	2984.500 	2912.700 	3044.200 	3410.200 	3289.100 	3147.300 
A,FC_OTH_HH_E,E7000,GWH,LU	815.153 	851.610 	916.444 	979.184 	1010.906 	989.287 	975.786 	969.417 	928.318 	909.369 	949.818 	940.550 	934.052 	920.659 
A,FC_OTH_HH_E,E7000,GWH,LV	1938.000 	1772.000 	1776.000 	1783.000 	1747.000 	1759.000 	1793.000 	1656.474 	1670.083 	1649.382 	1751.017 	1795.991 	1685.029 	1649.804 
A,FC_OTH_HH_E,E7000,GWH,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1636.000 	1642.000 	1671.000 	1730.000 	1825.000 	1746.000 	1669.000 
A,FC_OTH_HH_E,E7000,GWH,ME	1280.000 	1200.000 	1310.000 	1277.000 	1182.000 	1243.000 	1251.000 	1285.900 	1272.100 	1290.400 	1241.100 	1336.400 	1373.300 	1464.400 
A,FC_OTH_HH_E,E7000,GWH,MK	3233.000 	3345.200 	3262.600 	3065.000 	3045.900 	3053.751 	3057.300 	3096.598 	2998.813 	3252.800 	3402.500 	3316.199 	3191.067 	2351.400 
A,FC_OTH_HH_E,E7000,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	656.000 	665.944 	727.921 	789.083 	855.179 	888.722 	947.824 	1006.477 	996.422 
A,FC_OTH_HH_E,E7000,GWH,NL	22994.000 	23043.001 	23363.328 	23360.959 	22829.305 	22181.944 	21988.649 	21810.956 	21591.037 	21593.846 	21965.377 	22469.802 	22239.337 	21323.539 
A,FC_OTH_HH_E,E7000,GWH,NO	39731.226 	36056.651 	38246.667 	38902.007 	36871.162 	38569.902 	39843.110 	40132.637 	40404.553 	40007.626 	39884.009 	41577.725 	36347.653 	38845.242 
A,FC_OTH_HH_E,E7000,GWH,PL	0.000 	0.000 	0.000 	0.000 	0.000 	28280.000 	28909.000 	29181.000 	29284.000 	29393.280 	30006.017 	30590.000 	28860.000 	28807.000 
A,FC_OTH_HH_E,E7000,GWH,PT	14522.000 	13752.000 	12898.000 	12314.000 	11915.000 	11974.000 	12973.000 	12590.000 	13213.000 	13223.156 	13656.000 	14277.917 	13904.041 	14581.452 
