freq,unit,siec,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,GWH,E7000,C33,AL	: 	: 	: 	17.185 
A,GWH,E7000,C33,AT	: 	: 	22.438 	21.285 
A,GWH,E7000,C33,BE	: 	: 	54.000 	91.900 
A,GWH,E7000,C33,BG	: 	: 	61.333 	48.465 
A,GWH,E7000,C33,CZ	: 	: 	103.490 	101.600 
A,GWH,E7000,C33,DE	: 	: 	733.663 	742.832 
A,GWH,E7000,C33,DK	82.854 	87.179 	86.001 	86.000 
A,GWH,E7000,C33,EE	: 	: 	20.182 	12.240 
A,GWH,E7000,C33,FR	: 	: 	704.996 	678.299 
A,GWH,E7000,C33,HR	: 	: 	43.877 	51.828 
A,GWH,E7000,C33,HU	: 	: 	64.940 	67.490 
A,GWH,E7000,C33,IE	9.047 	9.522 	9.282 	9.425 
A,GWH,E7000,C33,IT	: 	: 	310.497 	314.774 
A,GWH,E7000,C33,LT	: 	: 	14.200 	12.800 
A,GWH,E7000,C33,LU	: 	: 	4.086 	4.264 e
A,GWH,E7000,C33,LV	6.931 	9.380 	8.043 	7.006 
A,GWH,E7000,C33,MD	: 	: 	3.400 	2.569 
A,GWH,E7000,C33,ME	2.150 	2.437 	2.681 	2.996 
A,GWH,E7000,C33,MT	: 	19.338 	25.865 	29.587 
A,GWH,E7000,C33,NL	: 	: 	175.282 	193.446 
A,GWH,E7000,C33,NO	: 	: 	421.725 	305.222 
A,GWH,E7000,C33,PL	: 	: 	177.885 	175.867 
A,GWH,E7000,C33,PT	: 	: 	137.217 	148.135 
A,GWH,E7000,C33,RO	: 	: 	: 	35.795 
A,GWH,E7000,C33,SE	: 	: 	71.000 	79.000 
A,GWH,E7000,C33,SI	: 	: 	26.935 	25.604 
A,GWH,E7000,C33,SK	: 	: 	98.440 	58.690 
A,GWH,E7000,C33,TR	: 	: 	: 	405.300 
A,GWH,E7000,DATAC,AL	: 	: 	: 	11.895 
A,GWH,E7000,DATAC,AT	: 	: 	0.000 	180.999 
A,GWH,E7000,DATAC,BE	: 	: 	1016.900 	1048.100 
A,GWH,E7000,DATAC,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,DATAC,CZ	: 	: 	0.000 	19.916 
A,GWH,E7000,DATAC,DE	: 	: 	17900.000 	18800.000 
A,GWH,E7000,DATAC,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,DATAC,EE	: 	: 	0.000 	0.000 
