freq,tra_mode,siec,nrg_bal,unit,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,AL	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,AT	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,BE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,BG	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,CY	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,CZ	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,DE	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,DK	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,EE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,EL	: 	: 	0.000 	: 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,ES	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,FR	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,GE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,HR	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,HU	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,IE	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,IT	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,LT	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_DAVI_E,THS_T,LU	: 	: 	0.000 	0.000 
