freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EI_GDP_CLV05,KGOE_TEUR,AL	: 	: 	: 	: 	: 	342.67 	341.35 	327.08 	331.43 	404.99 	379.47 	357.74 	377.99 	350.76 	364.79 	347.58 	318.24 	282.96 	273.91 	268.89 	257.00 	261.47 	232.30 	271.22 	265.38 	242.45 	243.86 	245.80 	234.91 	228.99 	220.18 	: 	: 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,AT	: 	: 	: 	: 	: 	136.60 	142.27 	138.27 	135.93 	130.79 	126.48 	131.68 	130.51 	135.82 	134.20 	136.32 	133.20 	126.16 	125.35 	123.43 	129.42 	122.08 	120.96 	122.68 	117.49 	118.81 	117.96 	117.41 	111.94 	112.45 	111.49 	112.40 	102.24 	100.81 	100.69 
A,EI_GDP_CLV05,KGOE_TEUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	557.38 	550.39 	583.46 	564.07 	601.49 	565.23 	572.96 	553.48 	526.43 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,BE	: 	: 	: 	: 	: 	237.34 	248.48 	242.74 	243.92 	233.40 	230.04 	225.33 	219.68 	228.25 	222.37 	215.84 	210.36 	202.81 	208.44 	195.91 	204.64 	186.41 	177.19 	183.26 	169.62 	168.57 	176.78 	176.36 	173.29 	169.99 	160.54 	167.70 	150.14 	138.16 	138.89 
A,EI_GDP_CLV05,KGOE_TEUR,BG	: 	: 	: 	: 	: 	1165.54 	1094.66 	1145.84 	1061.69 	1051.71 	1026.04 	1032.96 	953.01 	930.11 	849.81 	840.01 	810.00 	745.08 	693.61 	632.87 	631.43 	661.87 	629.12 	588.57 	609.52 	616.16 	585.42 	589.77 	574.15 	547.47 	536.53 	541.55 	527.41 	459.45 	442.90 
A,EI_GDP_CLV05,KGOE_TEUR,CY	: 	: 	: 	: 	: 	202.93 	220.37 	210.94 	211.90 	207.82 	211.83 	205.68 	195.63 	205.32 	179.01 	188.53 	186.74 	183.57 	184.99 	182.26 	171.30 	168.57 	164.12 	156.73 	161.96 	160.70 	163.15 	158.57 	153.21 	144.76 	131.80 	123.10 	122.12 	117.25 	101.40 
A,EI_GDP_CLV05,KGOE_TEUR,CZ	: 	: 	: 	: 	: 	495.96 	489.39 	496.52 	482.75 	444.60 	449.63 	448.24 	447.55 	452.44 	443.01 	412.38 	395.53 	374.15 	357.90 	353.12 	364.84 	343.91 	343.60 	345.36 	326.64 	311.50 	300.83 	298.41 	291.37 	276.80 	274.50 	279.63 	266.30 	244.49 	238.28 
A,EI_GDP_CLV05,KGOE_TEUR,DE	: 	180.13 	173.21 	173.56 	168.46 	167.74 	171.51 	167.15 	162.72 	155.97 	152.54 	154.40 	151.40 	152.67 	152.02 	150.05 	148.87 	137.81 	138.27 	136.90 	138.27 	126.41 	126.86 	129.04 	120.90 	119.54 	117.79 	115.09 	111.09 	107.57 	103.75 	103.88 	97.23 	88.70 	87.76 
A,EI_GDP_CLV05,KGOE_TEUR,DK	123.76 	133.30 	125.83 	131.98 	130.68 	126.31 	136.91 	123.33 	119.14 	111.12 	104.41 	105.29 	102.36 	107.61 	101.20 	96.51 	100.43 	97.63 	94.89 	94.24 	97.75 	90.16 	85.76 	85.56 	80.81 	78.94 	78.22 	75.84 	74.82 	72.02 	67.16 	66.25 	64.46 	63.24 	63.11 
A,EI_GDP_CLV05,KGOE_TEUR,EE	: 	: 	: 	: 	: 	974.44 	968.51 	829.80 	734.87 	699.78 	604.46 	601.66 	526.98 	525.06 	535.12 	494.82 	454.34 	493.99 	459.63 	428.99 	552.37 	497.69 	458.01 	498.85 	452.56 	386.81 	459.74 	431.17 	401.76 	327.93 	317.14 	300.25 	319.70 	285.83 	304.45 
A,EI_GDP_CLV05,KGOE_TEUR,EL	: 	: 	: 	: 	: 	199.50 	198.53 	198.22 	203.05 	196.75 	199.86 	195.65 	187.54 	182.00 	175.58 	174.19 	165.37 	160.23 	160.72 	159.99 	159.96 	173.11 	183.99 	167.07 	163.67 	164.12 	161.02 	165.90 	159.45 	156.19 	145.64 	141.61 	136.96 	129.61 	134.74 
A,EI_GDP_CLV05,KGOE_TEUR,ES	: 	: 	: 	: 	: 	163.03 	159.08 	164.54 	165.65 	165.74 	164.44 	163.08 	163.15 	163.89 	166.03 	164.19 	158.35 	155.38 	149.34 	143.35 	142.76 	143.24 	146.78 	138.61 	134.52 	133.71 	130.95 	132.79 	129.80 	124.29 	123.05 	122.42 	117.92 	111.97 	111.01 
A,EI_GDP_CLV05,KGOE_TEUR,EU27_2020	: 	: 	: 	: 	: 	193.87 	196.90 	190.94 	186.63 	179.52 	174.39 	175.12 	173.67 	176.38 	174.48 	171.98 	167.81 	160.91 	159.48 	156.50 	159.31 	151.85 	150.90 	149.26 	141.86 	140.47 	139.16 	138.20 	134.66 	130.14 	126.57 	126.14 	116.31 	111.30 	110.01 
A,EI_GDP_CLV05,KGOE_TEUR,FI	253.67 	272.78 	267.07 	281.68 	287.97 	262.18 	272.19 	265.83 	255.22 	244.37 	231.13 	230.23 	238.54 	246.24 	238.76 	214.70 	224.82 	209.98 	200.08 	202.64 	214.62 	201.86 	197.27 	196.07 	201.05 	191.49 	193.44 	189.77 	190.93 	184.69 	177.83 	181.49 	173.99 	178.81 	174.07 
A,EI_GDP_CLV05,KGOE_TEUR,FR	175.79 	183.33 	177.72 	181.19 	170.32 	173.39 	180.70 	171.15 	170.49 	164.94 	160.03 	161.95 	160.59 	162.95 	161.11 	158.74 	152.39 	147.32 	147.40 	145.81 	147.32 	141.33 	141.20 	140.73 	134.00 	134.61 	131.29 	128.61 	126.05 	122.25 	117.17 	118.34 	104.82 	106.92 	104.72 
A,EI_GDP_CLV05,KGOE_TEUR,HR	: 	: 	: 	: 	: 	306.35 	312.94 	300.88 	298.87 	308.81 	288.45 	291.10 	281.54 	285.42 	274.20 	267.43 	253.09 	250.43 	239.75 	247.71 	248.64 	243.83 	234.50 	230.26 	220.64 	224.95 	219.32 	219.89 	209.07 	205.52 	211.66 	196.84 	179.43 	179.79 	175.43 
A,EI_GDP_CLV05,KGOE_TEUR,HU	: 	: 	: 	: 	: 	408.93 	419.69 	399.77 	379.88 	365.99 	343.84 	338.12 	322.69 	316.98 	303.00 	313.30 	298.17 	290.82 	283.51 	289.12 	294.39 	283.10 	272.72 	258.10 	246.38 	251.45 	248.55 	249.34 	236.53 	225.10 	230.33 	224.97 	203.41 	193.29 	192.71 
A,EI_GDP_CLV05,KGOE_TEUR,IE	: 	: 	: 	: 	: 	130.67 	131.88 	127.29 	123.66 	116.21 	110.64 	110.75 	106.16 	98.81 	94.63 	91.45 	87.71 	86.18 	89.12 	89.60 	87.61 	79.32 	80.59 	74.94 	68.96 	58.56 	61.03 	54.97 	51.33 	49.04 	42.21 	37.61 	35.82 	36.09 	35.69 
A,EI_GDP_CLV05,KGOE_TEUR,IS	: 	: 	: 	: 	: 	276.80 	284.95 	267.09 	267.98 	288.73 	308.10 	284.53 	292.01 	286.18 	264.63 	253.47 	293.45 	318.45 	358.56 	398.91 	390.48 	410.64 	397.11 	394.52 	387.86 	358.06 	325.27 	332.03 	348.66 	330.11 	334.03 	324.44 	: 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,IT	: 	: 	: 	: 	: 	126.87 	124.86 	124.34 	125.77 	125.15 	123.00 	120.89 	121.51 	127.41 	126.47 	127.87 	124.69 	122.72 	122.38 	120.54 	122.04 	117.07 	116.13 	113.79 	107.54 	110.72 	108.58 	110.50 	108.17 	106.61 	106.59 	106.28 	97.16 	92.03 	90.66 
A,EI_GDP_CLV05,KGOE_TEUR,LT	: 	: 	: 	: 	: 	772.19 	790.25 	687.08 	669.18 	579.85 	511.10 	548.14 	549.54 	518.18 	493.21 	434.79 	399.73 	388.32 	378.38 	410.00 	328.70 	320.53 	309.22 	280.01 	268.62 	268.20 	270.51 	270.63 	263.37 	250.43 	244.62 	239.39 	209.23 	208.65 	212.19 
A,EI_GDP_CLV05,KGOE_TEUR,LU	: 	: 	: 	: 	: 	168.95 	169.70 	158.99 	145.68 	141.91 	140.83 	144.12 	145.55 	149.48 	159.27 	158.58 	147.16 	133.55 	134.07 	130.49 	133.69 	130.19 	125.02 	117.90 	111.76 	108.15 	103.32 	105.39 	107.89 	105.96 	92.96 	92.50 	84.60 	80.93 	81.17 
A,EI_GDP_CLV05,KGOE_TEUR,LV	: 	: 	: 	: 	: 	706.56 	677.30 	601.37 	544.69 	486.57 	441.57 	464.64 	429.90 	418.67 	395.67 	366.61 	332.49 	307.33 	307.77 	357.87 	379.05 	346.11 	335.64 	323.78 	315.66 	300.90 	298.01 	294.60 	283.62 	288.05 	275.93 	270.43 	248.36 	247.41 	244.93 
A,EI_GDP_CLV05,KGOE_TEUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	591.17 	587.90 	569.30 	606.81 	574.34 	580.86 	560.51 	550.38 	510.38 	475.90 	470.92 	498.63 	481.99 	433.72 	407.20 	385.39 	380.99 	384.94 	350.98 	372.95 	355.10 	350.20 	350.84 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	312.11 	346.06 	328.72 	368.46 	385.32 	310.52 	321.60 	326.34 	327.78 	356.81 	395.76 	372.69 	341.52 	306.84 	291.54 	288.44 	298.38 	316.39 	304.60 	303.17 	292.51 	239.84 	259.72 	246.30 	221.00 
A,EI_GDP_CLV05,KGOE_TEUR,NL	: 	: 	: 	: 	: 	207.10 	210.08 	198.64 	191.32 	181.11 	176.66 	178.60 	179.61 	183.12 	183.45 	179.56 	174.10 	167.78 	162.21 	162.63 	168.66 	158.21 	158.02 	154.40 	144.85 	142.64 	141.82 	139.60 	133.66 	128.37 	127.66 	122.86 	107.58 	104.41 	105.16 
A,EI_GDP_CLV05,KGOE_TEUR,NO	137.47 	136.18 	134.04 	138.44 	130.07 	126.58 	118.28 	119.31 	121.28 	124.19 	118.05 	123.03 	111.92 	119.14 	121.35 	121.78 	119.42 	109.70 	119.96 	120.02 	126.63 	109.68 	113.68 	117.87 	106.10 	93.93 	102.22 	105.23 	104.76 	98.69 	97.58 	97.30 	84.99 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,PL	: 	: 	: 	: 	: 	606.75 	595.59 	552.59 	492.82 	459.07 	420.10 	417.85 	405.37 	401.83 	383.66 	376.28 	373.11 	347.96 	337.28 	315.16 	329.13 	312.75 	296.29 	296.39 	274.60 	265.97 	270.78 	269.60 	265.18 	244.60 	242.44 	241.39 	218.51 	204.79 	198.46 
A,EI_GDP_CLV05,KGOE_TEUR,PT	: 	: 	: 	: 	: 	170.65 	163.56 	164.79 	169.00 	176.14 	171.50 	168.13 	173.65 	171.38 	174.21 	176.69 	166.02 	161.60 	157.62 	159.81 	152.11 	151.57 	149.12 	151.09 	151.80 	155.25 	152.54 	154.55 	146.72 	142.89 	138.31 	131.71 	129.13 	121.96 	117.79 
A,EI_GDP_CLV05,KGOE_TEUR,RO	: 	: 	: 	: 	: 	768.22 	757.68 	747.60 	698.99 	619.20 	610.39 	583.84 	572.14 	582.51 	519.82 	488.32 	468.52 	434.10 	395.64 	367.23 	384.50 	375.73 	360.86 	328.09 	312.71 	305.55 	296.21 	288.71 	274.32 	260.96 	262.76 	264.75 	234.47 	222.92 	219.96 
A,EI_GDP_CLV05,KGOE_TEUR,RS	: 	: 	: 	: 	: 	946.64 	1070.77 	1057.21 	1019.09 	816.09 	832.73 	849.37 	852.38 	858.45 	858.26 	721.11 	729.59 	666.81 	641.48 	595.26 	605.58 	620.77 	559.38 	556.29 	505.70 	550.91 	555.38 	554.88 	523.67 	498.32 	520.38 	491.51 	484.83 	: 	: 
A,EI_GDP_CLV05,KGOE_TEUR,SE	: 	: 	: 	219.65 	226.26 	219.92 	221.29 	210.49 	206.08 	194.27 	175.98 	184.11 	183.10 	177.34 	177.88 	169.16 	158.13 	152.40 	152.97 	145.21 	153.35 	149.05 	149.21 	145.00 	140.48 	128.81 	131.92 	133.41 	131.59 	125.61 	117.14 	116.92 	111.28 	109.27 	108.95 
