freq,siec,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,FC_E,GJ_HAB,AL	24.7 	18.3 	13.3 	12.3 	12.4 	12.6 	13.7 	11.1 	12.5 	20.2 	20.4 	20.9 	24.2 	23.7 	26.7 	25.8 	23.8 	23.8 	24.9 	26.5 	27.4 	28.2 	25.9 	28.4 	29.9 	28.6 	27.7 	30.3 	31.1 	30.3 	: 	: 	: 	: 
A,TOTAL,FC_E,GJ_HAB,AT	97.96 	104.79 	101.04 	102.06 	99.29 	103.76 	112.61 	109.79 	113.02 	114.06 	113.98 	120.90 	121.47 	127.85 	128.65 	130.90 	130.55 	127.87 	127.71 	123.86 	129.95 	125.19 	125.16 	127.39 	121.30 	123.41 	125.07 	126.13 	123.33 	123.63 	117.04 	123.29 	116.37 	111.26 
A,TOTAL,FC_E,GJ_HAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.4 	39.5 	42.3 	41.9 	: 	: 	: 	: 	: 	: 
A,TOTAL,FC_E,GJ_HAB,BE	119.36 	125.30 	125.76 	123.92 	125.87 	129.11 	137.22 	134.13 	136.74 	135.51 	137.37 	143.65 	136.19 	140.40 	138.78 	136.64 	133.88 	128.14 	132.46 	127.64 	136.06 	123.51 	124.32 	127.61 	117.85 	123.05 	123.35 	121.20 	121.42 	118.21 	113.05 	120.36 	109.41 	106.71 
A,TOTAL,FC_E,GJ_HAB,BG	76.64 	57.78 	51.40 	50.18 	50.57 	53.43 	55.16 	51.29 	50.17 	44.17 	44.04 	44.95 	45.86 	49.25 	49.67 	52.49 	54.82 	54.52 	53.76 	47.65 	49.25 	51.99 	52.17 	50.76 	52.57 	56.28 	57.80 	59.98 	60.88 	61.50 	60.72 	65.41 	63.83 	62.39 
A,TOTAL,FC_E,GJ_HAB,CY	61.59 	69.85 	70.76 	71.10 	72.29 	74.10 	76.97 	76.24 	78.79 	80.19 	82.49 	82.25 	82.86 	86.41 	87.64 	86.59 	86.37 	88.73 	89.11 	86.11 	83.07 	79.43 	72.34 	66.67 	67.64 	70.33 	73.29 	75.58 	76.09 	77.22 	71.62 	73.70 	73.84 	73.12 
A,TOTAL,FC_E,GJ_HAB,CZ	126.31 	114.00 	112.53 	109.67 	102.67 	101.57 	103.32 	102.10 	98.36 	94.93 	97.95 	100.37 	98.07 	102.45 	103.08 	102.05 	102.86 	100.06 	99.17 	95.39 	96.42 	93.09 	92.92 	92.11 	89.28 	91.71 	93.89 	96.61 	95.28 	95.05 	93.01 	100.81 	94.72 	87.60 
A,TOTAL,FC_E,GJ_HAB,DE	144.86 	113.68 	109.31 	109.45 	106.57 	107.95 	112.54 	110.08 	109.26 	107.07 	105.51 	107.38 	105.54 	107.62 	106.88 	105.24 	108.14 	101.58 	106.26 	100.57 	107.48 	103.94 	105.50 	108.02 	101.97 	102.52 	103.55 	103.59 	101.35 	101.18 	97.80 	99.35 	94.78 	89.35 
A,TOTAL,FC_E,GJ_HAB,DK	105.26 	111.51 	109.47 	113.01 	112.42 	114.14 	118.05 	114.74 	113.72 	112.70 	109.91 	112.60 	110.50 	112.59 	113.31 	113.77 	114.72 	114.52 	112.46 	107.23 	112.07 	106.23 	103.25 	101.75 	97.35 	99.88 	101.80 	101.67 	100.96 	98.83 	95.01 	99.59 	92.38 	91.23 
A,TOTAL,FC_E,GJ_HAB,EE	141.40 	139.59 	93.51 	81.79 	82.45 	76.29 	85.20 	84.91 	79.14 	72.70 	72.18 	79.86 	79.00 	82.83 	85.17 	86.84 	87.96 	94.42 	93.62 	85.48 	90.51 	87.74 	89.49 	90.23 	88.36 	87.54 	88.93 	89.22 	91.47 	89.17 	85.83 	87.76 	84.45 	78.38 
