freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_E,PC,AL	7.554 	7.788 	11.834 	15.106 	16.843 	18.347 	23.154 	21.89 	20.859 	25.14 	24.538 	22.885 	21.822 	21.963 	23.803 	24.091 	17.737 	18.869 	22.815 	25.117 	25.701 	24.9 	27.659 	30.215 	27.246 	25.837 	24.892 	24.636 	24.515 	25.895 	29.506 	28.479 	28.916 	29.648 
A,FC_E,PC,AT	20.471 	19.854 	20.148 	20.06 	20.835 	20.39 	19.405 	20.124 	19.851 	20.086 	20.32 	19.851 	19.748 	19.282 	19.442 	19.219 	19.553 	20.066 	20.126 	19.924 	19.852 	20.524 	20.753 	20.379 	20.905 	20.641 	20.471 	20.466 	20.948 	20.827 	21.271 	20.984 	21.912 	22.286 
A,FC_E,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.331 	27.673 	26.902 	28.018 	23.387 	22.464 	21.229 	21.629 	21.282 	: 
A,FC_E,PC,BE	17.546 	17.38 	17.834 	18.235 	18.787 	18.829 	18.049 	18.935 	19.084 	19.356 	19.822 	19.038 	20.068 	19.703 	20.248 	20.583 	21.53 	22.356 	21.494 	20.73 	20.721 	21.933 	21.525 	20.797 	21.934 	21.038 	20.963 	21.242 	21.229 	21.407 	21.754 	20.789 	21.57 	21.31 
A,FC_E,PC,BG	19.004 	21.78 	21.461 	22.193 	22.339 	22.995 	23.328 	22.727 	22.717 	23.618 	24.262 	24.593 	24.122 	23.627 	23.392 	23.028 	23.228 	23.816 	25.611 	27.248 	26.789 	26.781 	26.301 	27.271 	26.792 	25.942 	26.106 	26.387 	26.368 	26.73 	25.896 	26.195 	26.797 	27.399 
A,FC_E,PC,CY	18.053 	16.255 	17.64 	18.672 	18.793 	16.593 	16.26 	16.769 	17.596 	18.097 	18.839 	19.403 	20.725 	21.146 	21.157 	22.293 	23.135 	23.193 	23.802 	24.584 	25.508 	25.15 	25.398 	24.568 	24.755 	24.706 	25.378 	25.17 	25.365 	24.969 	24.663 	25.224 	25.954 	26.031 
A,FC_E,PC,CZ	13.288 	13.621 	13.451 	13.672 	15.259 	16.502 	16.986 	16.984 	17.377 	17.745 	17.698 	17.863 	18.297 	18.065 	17.93 	18.518 	18.878 	19.342 	19.623 	19.196 	19.329 	19.768 	19.863 	19.782 	20.386 	20.278 	20.268 	20.192 	20.652 	20.732 	20.659 	20.391 	20.646 	21.058 
A,FC_E,PC,DE	17.895 	18.02 	18.42 	18.079 	18.399 	18.423 	17.9 	18.408 	18.718 	19.391 	20.065 	20.163 	21.028 	20.868 	21.292 	21.67 	21.344 	22.813 	21.777 	21.744 	21.792 	22.646 	22.254 	21.586 	22.311 	22.135 	21.85 	21.819 	21.825 	21.261 	21.346 	21.749 	21.63 	21.701 
A,FC_E,PC,DK	18.873 	18.326 	18.919 	18.519 	18.917 	18.614 	18.372 	18.929 	19.132 	19.319 	19.909 	19.43 	19.705 	19.198 	19.384 	19.538 	19.499 	19.268 	19.302 	19.114 	18.562 	19.284 	19.697 	19.87 	20.462 	19.678 	19.425 	19.337 	19.135 	19.529 	19.907 	20.12 	20.343 	20.117 
A,FC_E,PC,EA19	18.153 	18.133 	18.613 	18.641 	19.182 	19.207 	18.907 	19.507 	19.649 	20.074 	20.555 	20.552 	21.012 	21.003 	21.358 	21.531 	21.955 	22.587 	22.437 	22.39 	22.592 	23.279 	23.315 	23.044 	23.631 	23.482 	23.339 	23.33 	23.308 	23.134 	23.725 	23.318 	23.463 	23.476 
