freq,siec,partner,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,C0000X0350-0370,THRD,PC,AL	97.88 	99.15 	98.48 	98.95 	100.00 	64.10 	95.90 	38.63 	27.71 	55.39 	49.31 	42.26 	23.84 	28.59 
A,C0000X0350-0370,THRD,PC,AT	23.31 	22.27 	21.47 	15.71 	20.18 	27.71 	27.53 	24.72 	26.85 	28.24 	30.07 	27.99 	32.32 	43.03 
A,C0000X0350-0370,THRD,PC,BE	85.53 	89.02 	85.66 	82.70 	84.45 	86.05 	81.57 	81.08 	86.60 	84.68 	85.92 	80.12 	79.31 	78.24 
A,C0000X0350-0370,THRD,PC,BG	24.20 	24.72 	21.65 	16.79 	14.61 	11.32 	9.42 	9.22 	10.29 	7.64 	9.76 	10.37 	11.87 	8.74 
A,C0000X0350-0370,THRD,PC,CY	65.64 	1.66 	100.00 	100.00 	0.00 	0.00 	0.00 	66.67 	97.54 	100.00 	100.00 	97.60 	74.24 	0.00 
A,C0000X0350-0370,THRD,PC,CZ	1.65 	1.40 	1.74 	1.71 	1.45 	1.52 	1.30 	2.15 	4.18 	4.86 	3.50 	4.67 	4.72 	4.95 
A,C0000X0350-0370,THRD,PC,DE	33.56 	36.31 	35.52 	39.97 	40.60 	41.91 	46.47 	41.61 	39.59 	44.97 	41.99 	45.06 	47.82 	44.85 
A,C0000X0350-0370,THRD,PC,DK	60.69 	97.64 	91.72 	80.15 	91.65 	79.46 	79.24 	98.94 	98.34 	95.79 	69.05 	31.05 	97.83 	99.05 
A,C0000X0350-0370,THRD,PC,EE	100.00 	94.29 	97.56 	91.97 	98.74 	24.14 	85.19 	93.75 	88.00 	96.72 	20.77 	69.03 	100.00 	81.34 
A,C0000X0350-0370,THRD,PC,EL	4.62 	2.88 	2.22 	3.28 	2.93 	2.72 	4.36 	4.73 	5.14 	6.18 	10.06 	9.60 	3.10 	2.40 
A,C0000X0350-0370,THRD,PC,ES	69.74 	69.15 	76.08 	64.79 	75.49 	75.49 	69.86 	82.34 	73.48 	81.27 	51.00 	83.12 	96.10 	78.50 
A,C0000X0350-0370,THRD,PC,FI	78.61 	93.22 	77.33 	80.07 	93.39 	80.79 	84.98 	87.03 	95.17 	93.01 	86.68 	66.40 	90.43 	68.17 
A,C0000X0350-0370,THRD,PC,FR	83.33 	91.31 	88.16 	84.98 	91.94 	90.98 	86.52 	93.47 	94.04 	90.80 	89.46 	61.42 	69.73 	66.66 
A,C0000X0350-0370,THRD,PC,GE	: 	: 	: 	5.35 	14.57 	32.01 	37.77 	54.83 	82.54 	93.68 	74.34 	54.54 	64.39 	: 
A,C0000X0350-0370,THRD,PC,HR	96.55 	93.30 	81.94 	96.07 	87.43 	94.22 	93.68 	90.67 	81.99 	92.74 	70.89 	93.96 	90.04 	68.68 
A,C0000X0350-0370,THRD,PC,HU	27.21 	29.10 	26.39 	28.94 	28.26 	26.14 	21.95 	33.42 	35.77 	34.02 	33.52 	28.87 	27.36 	15.54 
A,C0000X0350-0370,THRD,PC,IE	63.43 	90.55 	81.76 	88.14 	87.93 	92.81 	77.24 	95.89 	94.82 	57.90 	54.40 	97.70 	96.45 	84.06 
A,C0000X0350-0370,THRD,PC,IT	94.34 	93.14 	92.77 	91.41 	89.52 	93.11 	91.12 	95.54 	94.38 	90.90 	85.80 	87.30 	90.42 	91.40 
A,C0000X0350-0370,THRD,PC,LT	90.87 	97.94 	94.98 	99.04 	96.53 	89.77 	90.43 	97.00 	91.34 	93.07 	78.41 	84.35 	94.08 	78.73 
A,C0000X0350-0370,THRD,PC,LU	91.82 	91.07 	89.06 	86.78 	91.97 	90.13 	88.77 	85.60 	89.19 	83.10 	88.92 	88.84 	88.63 	87.36 
A,C0000X0350-0370,THRD,PC,LV	99.45 	93.55 	98.68 	89.45 	74.07 	85.54 	81.86 	87.77 	89.65 	99.75 	88.59 	57.17 	97.37 	84.40 
A,C0000X0350-0370,THRD,PC,MD	48.28 	49.42 	8.12 	0.70 	40.38 	92.97 	70.26 	98.06 	89.26 	83.20 	94.41 	81.43 	98.08 	95.09 
A,C0000X0350-0370,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.06 	0.07 	0.00 	0.06 	0.01 	0.02 	0.00 	0.00 	0.00 
A,C0000X0350-0370,THRD,PC,MK	6.66 	6.08 	8.89 	6.46 	9.23 	8.14 	11.44 	8.79 	12.21 	11.30 	9.54 	9.18 	4.32 	2.18 
A,C0000X0350-0370,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,C0000X0350-0370,THRD,PC,NL	96.80 	97.35 	97.22 	96.05 	97.70 	95.53 	98.66 	98.66 	98.67 	99.44 	91.60 	98.16 	99.23 	99.07 
A,C0000X0350-0370,THRD,PC,PL	10.14 	10.82 	7.92 	8.12 	8.77 	7.53 	7.62 	12.51 	19.72 	17.95 	15.60 	12.93 	20.86 	20.64 
A,C0000X0350-0370,THRD,PC,PT	97.98 	96.89 	99.75 	95.42 	96.46 	98.18 	99.54 	99.70 	98.55 	99.33 	0.00 	0.00 	0.00 	0.00 
A,C0000X0350-0370,THRD,PC,RO	8.43 	7.97 	9.47 	8.95 	7.41 	7.63 	10.20 	9.42 	8.71 	12.79 	12.75 	16.18 	13.26 	4.79 
A,C0000X0350-0370,THRD,PC,RS	1.72 	1.22 	0.93 	0.39 	1.21 	2.71 	1.18 	0.82 	2.42 	2.77 	2.01 	2.59 	2.46 	6.32 
A,C0000X0350-0370,THRD,PC,SE	82.14 	79.67 	61.96 	66.28 	80.48 	82.97 	82.97 	78.54 	76.76 	78.62 	91.15 	85.04 	86.54 	90.42 
A,C0000X0350-0370,THRD,PC,SI	15.51 	13.08 	16.62 	14.10 	18.24 	16.32 	14.71 	14.70 	16.38 	16.80 	14.81 	8.18 	21.82 	19.75 
A,C0000X0350-0370,THRD,PC,SK	25.10 	32.91 	43.34 	37.44 	44.12 	43.79 	37.79 	45.31 	50.83 	58.86 	54.87 	52.98 	65.17 	61.76 
A,C0000X0350-0370,THRD,PC,XK	1.75 	2.11 	2.61 	0.73 	0.59 	0.31 	0.06 	0.00 	0.05 	0.04 	0.24 	0.50 	0.28 	0.74 
A,CF_R,THRD,PC,AL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	30.21 	29.90 	0.00 	0.00 	0.00 	0.00 	45.69 	24.02 
A,CF_R,THRD,PC,AT	0.00 	0.00 	0.00 	0.00 	0.08 	0.00 	0.01 	0.00 	0.06 	0.06 	0.00 	0.00 	0.01 	0.00 
A,CF_R,THRD,PC,BE	0.80 	1.43 	1.15 	1.22 	0.54 	0.67 	4.71 	4.18 	6.38 	8.83 	11.16 	11.71 	14.38 	12.75 
A,CF_R,THRD,PC,BG	0.74 	1.00 	0.56 	0.00 	0.23 	0.22 	0.39 	1.17 	0.97 	0.08 	0.01 	0.04 	0.03 	0.39 
A,CF_R,THRD,PC,CY	21.79 	20.56 	21.28 	21.56 	10.68 	9.05 	10.48 	3.56 	4.16 	0.00 	0.00 	0.00 	0.03 	3.67 
A,CF_R,THRD,PC,CZ	0.00 	0.07 	0.00 	0.01 	0.00 	0.02 	0.00 	0.00 	0.00 	0.00 	0.01 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,DE	4.65 	5.76 	4.48 	4.36 	4.24 	4.10 	3.65 	3.18 	4.99 	4.69 	8.61 	5.55 	5.96 	6.10 
A,CF_R,THRD,PC,DK	3.50 	7.54 	9.05 	8.77 	9.16 	8.30 	7.35 	7.33 	7.34 	7.29 	8.35 	8.46 	8.69 	7.20 
A,CF_R,THRD,PC,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,EL	1.48 	0.93 	0.00 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.16 	0.16 	0.00 	0.00 
A,CF_R,THRD,PC,ES	12.25 	18.54 	24.47 	10.25 	9.75 	3.09 	2.26 	3.54 	13.15 	12.70 	8.07 	9.63 	6.73 	6.37 
A,CF_R,THRD,PC,FI	1.47 	1.58 	2.56 	2.27 	4.88 	0.81 	0.82 	0.93 	0.94 	0.96 	1.09 	1.13 	1.28 	1.52 
A,CF_R,THRD,PC,FR	2.70 	3.81 	0.04 	0.03 	0.10 	0.00 	0.00 	0.24 	0.41 	0.40 	0.42 	0.24 	0.68 	0.68 
A,CF_R,THRD,PC,GE	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
A,CF_R,THRD,PC,HR	0.00 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.26 	0.07 	0.25 	0.00 	0.00 
A,CF_R,THRD,PC,HU	2.45 	1.97 	0.00 	0.00 	0.00 	0.14 	0.11 	0.72 	0.03 	0.21 	0.79 	0.39 	0.36 	0.23 
A,CF_R,THRD,PC,IE	26.83 	19.00 	18.96 	12.49 	14.59 	10.34 	9.81 	10.91 	7.48 	9.49 	8.85 	8.52 	9.51 	12.73 
A,CF_R,THRD,PC,IT	8.15 	11.37 	9.68 	6.09 	6.77 	6.45 	5.86 	5.36 	5.55 	5.40 	5.02 	4.44 	4.19 	4.52 
A,CF_R,THRD,PC,LT	1.26 	2.92 	0.00 	0.15 	1.30 	0.64 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.07 
A,CF_R,THRD,PC,LU	0.34 	0.17 	0.00 	0.00 	0.00 	0.04 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,LV	0.08 	0.25 	0.11 	0.14 	0.21 	0.28 	0.21 	0.12 	0.12 	0.14 	0.00 	0.00 	0.01 	0.00 
A,CF_R,THRD,PC,MD	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,MK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.03 	0.06 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	1.78 	2.30 	0.01 	0.13 	0.76 	73.48 	83.45 	61.51 	50.77 	59.66 
A,CF_R,THRD,PC,NL	4.92 	5.82 	4.11 	0.00 	3.46 	4.21 	4.10 	3.93 	4.42 	5.02 	6.24 	4.58 	8.11 	6.38 
A,CF_R,THRD,PC,PL	6.41 	7.14 	1.00 	0.87 	0.72 	0.50 	0.95 	1.36 	0.68 	0.19 	0.33 	0.62 	0.76 	0.33 
A,CF_R,THRD,PC,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.10 	0.02 	0.00 	0.00 	0.00 	0.26 	0.00 	0.24 
A,CF_R,THRD,PC,RO	2.01 	2.66 	0.70 	2.21 	2.28 	0.03 	0.03 	0.11 	0.11 	0.04 	0.12 	0.03 	0.04 	0.12 
A,CF_R,THRD,PC,RS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,SE	1.13 	1.22 	0.28 	0.21 	0.42 	0.16 	0.43 	1.61 	0.35 	0.72 	1.02 	0.91 	0.98 	0.59 
A,CF_R,THRD,PC,SI	0.03 	0.70 	0.42 	0.22 	0.00 	0.02 	0.79 	0.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,CF_R,THRD,PC,SK	2.35 	2.20 	0.00 	0.46 	1.32 	0.00 	0.00 	0.20 	0.00 	0.71 	0.03 	0.40 	0.42 	0.45 
A,CF_R,THRD,PC,XK	0.00 	0.05 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,AL	20.62 	43.32 	34.30 	24.66 	40.03 	28.06 	0.00 	38.38 	8.90 	37.17 	33.35 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,AT	0.08 	0.16 	0.17 	0.34 	0.71 	0.35 	0.50 	0.57 	1.51 	1.94 	2.10 	1.28 	1.42 	1.43 
A,E7000,THRD,PC,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.08 	0.36 	0.07 	1.51 	0.69 
