freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,DZ,PC,AL	: m	: m	: m	: m	: m	: m
A,G3000,DZ,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,BA	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,BE	0.14 i	0.11 i	0.06 i	0.08 i	0.17 i	0.04 i
A,G3000,DZ,PC,BG	0.00 i	0.00 i	0.00 i	0.01 i	2.14 i	0.98 i
A,G3000,DZ,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,DZ,PC,CZ	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,DE	0.04 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,DK	: m	: m	: m	: m	: m	0.00 i
A,G3000,DZ,PC,EE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,EL	13.66 i	19.52 i	26.98 i	19.12 i	12.59 i	5.73 i
A,G3000,DZ,PC,ES	60.01 i	57.05 i	48.61 i	51.55 i	33.60 i	29.61 i
A,G3000,DZ,PC,FI	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,FR	9.42 i	10.83 i	7.92 i	7.64 i	7.03 i	8.13 i
A,G3000,DZ,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,HR	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,HU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,IE	0.51 i	0.29 i	0.25 i	0.25 i	1.13 i	0.00 i
A,G3000,DZ,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,DZ,PC,IT	12.49 i	29.55 i	28.02 i	26.48 i	18.85 i	22.84 i
A,G3000,DZ,PC,LI	: m	: m	0.02 i	: m	0.00 i	3.00 i
A,G3000,DZ,PC,LT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,DZ,PC,LU	0.10 i	0.12 i	0.09 i	0.09 i	0.09 i	0.09 i
