freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,AZ,PC,AL	0.00 i	0.00 i	0.00 i	2.30 i	1.18 i	3.50 i
A,O4000XBIO,AZ,PC,AT	6.93 i	4.91 i	8.03 i	6.24 i	6.21 i	3.90 i
A,O4000XBIO,AZ,PC,BA	1.23 i	0.94 i	5.42 i	6.06 i	10.59 i	16.12 i
A,O4000XBIO,AZ,PC,BE	0.30 i	0.21 i	0.12 i	0.14 i	0.12 i	0.13 i
A,O4000XBIO,AZ,PC,BG	0.92 i	0.31 i	0.63 i	1.56 i	1.24 i	0.50 i
A,O4000XBIO,AZ,PC,CY	1.73 i	0.65 i	0.89 i	1.76 i	1.91 i	3.32 i
A,O4000XBIO,AZ,PC,CZ	21.89 i	15.20 i	20.88 i	18.79 i	19.06 i	14.10 i
A,O4000XBIO,AZ,PC,DE	4.15 i	3.93 i	1.97 i	2.53 i	2.39 i	1.92 i
A,O4000XBIO,AZ,PC,DK	0.05 i	0.06 i	: m	0.07 i	0.10 i	0.04 i
A,O4000XBIO,AZ,PC,EE	0.36 i	0.02 i	0.00 i	0.00 i	0.00 i	0.00 i
A,O4000XBIO,AZ,PC,EL	1.20 i	0.21 i	0.68 i	0.22 i	1.93 i	4.31 i
A,O4000XBIO,AZ,PC,ES	1.84 i	2.60 i	2.03 i	2.26 i	2.19 i	3.14 i
A,O4000XBIO,AZ,PC,FI	0.02 i	0.03 i	0.01 i	0.01 i	0.02 i	0.02 i
A,O4000XBIO,AZ,PC,FR	4.00 i	3.59 i	1.96 i	1.50 i	1.90 i	1.10 i
A,O4000XBIO,AZ,PC,GE	20.01 i	21.01 i	15.84 i	13.73 i	13.64 i	22.44 i
A,O4000XBIO,AZ,PC,HR	19.34 i	14.68 i	12.79 i	13.56 i	18.54 i	34.85 i
A,O4000XBIO,AZ,PC,HU	1.19 i	0.65 i	1.27 i	1.15 i	1.03 i	2.49 i
A,O4000XBIO,AZ,PC,IE	0.99 i	1.92 i	0.13 i	0.18 i	0.14 i	0.06 i
A,O4000XBIO,AZ,PC,IS	0.03 i	0.01 i	0.03 i	0.09 i	0.05 i	0.02 i
A,O4000XBIO,AZ,PC,IT	13.48 i	10.92 i	13.95 i	13.81 i	13.10 i	14.19 i
A,O4000XBIO,AZ,PC,LI	: m	: m	3.97 i	: m	2.57 i	: m
A,O4000XBIO,AZ,PC,LT	0.79 i	0.01 i	0.00 i	0.00 i	0.00 i	0.00 i
A,O4000XBIO,AZ,PC,LU	0.88 i	0.90 i	0.54 i	0.61 i	0.58 i	0.40 i
A,O4000XBIO,AZ,PC,LV	0.29 i	0.01 i	0.01 i	0.01 i	0.01 i	0.01 i
A,O4000XBIO,AZ,PC,MD	1.16 i	1.55 i	4.12 i	3.51 i	1.85 i	2.11 i
A,O4000XBIO,AZ,PC,ME	4.39 i	3.19 i	3.18 i	3.17 i	5.31 i	12.68 i
A,O4000XBIO,AZ,PC,MK	1.14 i	0.32 i	0.55 i	0.50 i	1.81 i	2.68 i
A,O4000XBIO,AZ,PC,MT	4.29 i	4.89 i	2.86 i	3.75 i	1.74 i	4.00 i
A,O4000XBIO,AZ,PC,NL	0.43 i	0.43 i	0.35 i	0.41 i	0.42 i	0.34 i
